# ModelM7 Training Log - Custom Data Percentage
# Data Percentage: 35% (21000 samples)
# Seed: 48
# Epochs: 150
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.882511    78.762     0.259283    97.880    97.880    0.9787    0.9789    0.9788
   1     0.414270    93.714     0.188483    98.700    98.700    0.9871    0.9868    0.9870
   2     0.301795    95.633     0.132505    98.960    98.960    0.9898    0.9894    0.9896
   3     0.240771    96.410     0.107392    99.010    99.010    0.9903    0.9900    0.9901
   4     0.203429    96.786     0.097051    99.180    99.180    0.9918    0.9917    0.9917
   5     0.178322    97.052     0.086765    99.260    99.260    0.9927    0.9925    0.9926
   6     0.150072    97.600     0.074929    99.230    99.260    0.9924    0.9923    0.9923
   7     0.138366    97.590     0.100782    99.010    99.260    0.9903    0.9901    0.9901
   8     0.119967    97.914     0.072947    98.960    99.260    0.9897    0.9895    0.9895
   9     0.111128    98.014     0.054716    99.230    99.260    0.9923    0.9922    0.9922
  10     0.107409    97.881     0.055836    99.370    99.370    0.9937    0.9937    0.9937
  11     0.099781    97.900     0.057412    99.360    99.370    0.9936    0.9935    0.9935
  12     0.096238    97.943     0.061525    99.070    99.370    0.9908    0.9906    0.9907
  13     0.088372    98.205     0.080893    98.460    99.370    0.9852    0.9844    0.9845
  14     0.079917    98.362     0.057499    98.890    99.370    0.9893    0.9887    0.9889
  15     0.080285    98.224     0.044730    99.250    99.370    0.9926    0.9922    0.9924
  16     0.074159    98.357     0.055569    99.160    99.370    0.9917    0.9915    0.9915
  17     0.072307    98.376     0.050511    99.260    99.370    0.9926    0.9926    0.9926
  18     0.066999    98.471     0.045524    99.350    99.370    0.9936    0.9934    0.9934
  19     0.066719    98.386     0.034597    99.410    99.410    0.9941    0.9940    0.9940
  20     0.057711    98.719     0.048848    99.230    99.410    0.9924    0.9923    0.9923
  21     0.065220    98.414     0.035536    99.400    99.410    0.9940    0.9939    0.9940
  22     0.057551    98.590     0.032682    99.350    99.410    0.9936    0.9934    0.9935
  23     0.057403    98.600     0.035064    99.310    99.410    0.9929    0.9932    0.9930
  24     0.056617    98.690     0.027882    99.380    99.410    0.9939    0.9937    0.9938
  25     0.051174    98.767     0.067069    98.530    99.410    0.9856    0.9857    0.9854
  26     0.048308    98.829     0.028149    99.320    99.410    0.9932    0.9930    0.9931
  27     0.049899    98.743     0.029278    99.350    99.410    0.9936    0.9934    0.9935
  28     0.049268    98.752     0.033759    99.260    99.410    0.9927    0.9926    0.9926
  29     0.046572    98.800     0.022786    99.450    99.450    0.9944    0.9945    0.9945
  30     0.044133    98.929     0.044654    98.910    99.450    0.9890    0.9893    0.9891
  31     0.045775    98.795     0.026088    99.420    99.450    0.9942    0.9941    0.9942
  32     0.039271    99.067     0.028745    99.340    99.450    0.9935    0.9935    0.9935
  33     0.043071    98.810     0.027204    99.380    99.450    0.9939    0.9937    0.9938
  34     0.037172    99.114     0.026003    99.420    99.450    0.9943    0.9940    0.9941
  35     0.037902    99.052     0.033039    99.210    99.450    0.9921    0.9922    0.9921
  36     0.038115    98.981     0.031182    99.330    99.450    0.9934    0.9931    0.9932
  37     0.038862    98.976     0.025183    99.460    99.460    0.9945    0.9946    0.9945
  38     0.037523    99.014     0.023659    99.410    99.460    0.9941    0.9941    0.9941
  39     0.032796    99.229     0.030360    99.290    99.460    0.9929    0.9927    0.9928
