# ModelM7 Training Log - Custom Data Percentage
# Data Percentage: 95% (57000 samples)
# Seed: 60
# Epochs: 150
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.565735    88.402     0.142716    98.890    98.890    0.9890    0.9888    0.9889
   1     0.222654    96.553     0.090767    99.070    99.070    0.9908    0.9906    0.9907
   2     0.150536    97.333     0.077084    99.160    99.160    0.9917    0.9915    0.9916
   3     0.119099    97.633     0.122554    97.580    99.160    0.9779    0.9761    0.9760
   4     0.097679    97.856     0.051638    99.070    99.160    0.9908    0.9905    0.9906
   5     0.088071    97.958     0.047909    99.270    99.270    0.9928    0.9926    0.9927
   6     0.074435    98.163     0.071051    98.550    99.270    0.9863    0.9858    0.9858
   7     0.070932    98.191     0.045122    99.280    99.280    0.9928    0.9927    0.9928
   8     0.065042    98.300     0.091312    98.340    99.280    0.9838    0.9839    0.9836
   9     0.059230    98.460     0.068082    98.770    99.280    0.9879    0.9878    0.9877
  10     0.056172    98.542     0.035379    99.250    99.280    0.9925    0.9924    0.9924
  11     0.055289    98.500     0.068659    98.190    99.280    0.9825    0.9811    0.9815
  12     0.053087    98.498     0.028198    99.430    99.430    0.9943    0.9942    0.9942
  13     0.047990    98.707     0.033774    99.210    99.430    0.9922    0.9921    0.9921
  14     0.045965    98.702     0.030902    99.310    99.430    0.9928    0.9931    0.9929
  15     0.043462    98.821     0.025919    99.430    99.430    0.9943    0.9942    0.9942
  16     0.040328    98.863     0.036606    99.170    99.430    0.9916    0.9918    0.9917
  17     0.042958    98.782     0.022441    99.420    99.430    0.9942    0.9942    0.9942
  18     0.038333    98.923     0.018830    99.530    99.530    0.9953    0.9952    0.9952
  19     0.036051    98.940     0.057915    98.350    99.530    0.9838    0.9840    0.9836
  20     0.035031    98.988     0.021946    99.450    99.530    0.9945    0.9945    0.9945
  21     0.035626    98.975     0.021227    99.510    99.530    0.9951    0.9950    0.9951
  22     0.032617    99.063     0.026168    99.500    99.530    0.9950    0.9949    0.9949
  23     0.031792    99.070     0.016939    99.530    99.530    0.9954    0.9952    0.9953
  24     0.031366    99.109     0.015289    99.570    99.570    0.9956    0.9957    0.9957
  25     0.029566    99.200     0.016310    99.580    99.580    0.9958    0.9958    0.9958
  26     0.028319    99.212     0.014525    99.610    99.610    0.9962    0.9960    0.9961
  27     0.028052    99.221     0.012663    99.570    99.610    0.9957    0.9956    0.9957
  28     0.026862    99.225     0.012858    99.620    99.620    0.9962    0.9961    0.9962
  29     0.026926    99.230     0.018732    99.420    99.620    0.9942    0.9941    0.9941
  30     0.027293    99.225     0.014698    99.610    99.620    0.9961    0.9960    0.9961
  31     0.024517    99.309     0.013436    99.550    99.620    0.9955    0.9954    0.9954
  32     0.024823    99.268     0.011656    99.600    99.620    0.9960    0.9959    0.9960
  33     0.024364    99.305     0.014811    99.560    99.620    0.9956    0.9956    0.9956
  34     0.022149    99.358     0.017321    99.450    99.620    0.9946    0.9944    0.9945
  35     0.021848    99.377     0.011746    99.640    99.640    0.9964    0.9963    0.9964
  36     0.022737    99.339     0.012310    99.660    99.660    0.9966    0.9965    0.9966
  37     0.020380    99.372     0.011081    99.660    99.660    0.9966    0.9966    0.9966
  38     0.020873    99.411     0.013019    99.600    99.660    0.9960    0.9959    0.9960
  39     0.019704    99.404     0.011729    99.620    99.660    0.9962    0.9961    0.9961
  40     0.019347    99.425     0.014217    99.650    99.660    0.9965    0.9964    0.9965
  41     0.020717    99.388     0.012158    99.600    99.660    0.9960    0.9959    0.9959
