# ModelM7 Training Log - Custom Data Percentage
# Data Percentage: 20% (12000 samples)
# Seed: 45
# Epochs: 150
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     1.109661    69.933     0.354654    96.110    96.110    0.9617    0.9607    0.9610
   1     0.563582    90.292     0.242447    98.170    98.170    0.9817    0.9817    0.9816
   2     0.414754    93.925     0.199868    98.500    98.500    0.9851    0.9850    0.9850
   3     0.347372    95.192     0.167724    98.640    98.640    0.9866    0.9864    0.9864
   4     0.293172    95.950     0.160704    98.950    98.950    0.9896    0.9895    0.9895
   5     0.261249    96.175     0.133637    98.530    98.950    0.9859    0.9852    0.9854
   6     0.232284    96.467     0.119887    99.090    99.090    0.9910    0.9909    0.9909
   7     0.211733    96.792     0.095722    99.110    99.110    0.9912    0.9910    0.9910
   8     0.190608    97.100     0.096267    99.090    99.110    0.9909    0.9909    0.9909
   9     0.169261    97.342     0.094861    98.960    99.110    0.9898    0.9895    0.9896
  10     0.157351    97.433     0.101601    98.880    99.110    0.9889    0.9888    0.9888
  11     0.152527    97.558     0.096198    99.290    99.290    0.9929    0.9929    0.9929
  12     0.137619    97.650     0.075542    99.140    99.290    0.9913    0.9914    0.9914
  13     0.133093    97.700     0.068176    99.290    99.290    0.9931    0.9927    0.9929
  14     0.124289    97.783     0.072624    99.000    99.290    0.9900    0.9900    0.9899
  15     0.114468    98.125     0.059229    99.340    99.340    0.9934    0.9933    0.9933
  16     0.120074    97.667     0.065720    99.280    99.340    0.9928    0.9927    0.9927
  17     0.103498    98.250     0.081157    99.010    99.340    0.9903    0.9900    0.9901
  18     0.099992    98.183     0.049977    99.390    99.390    0.9939    0.9938    0.9938
  19     0.095810    98.258     0.062912    99.240    99.390    0.9924    0.9923    0.9923
  20     0.089459    98.275     0.060318    99.240    99.390    0.9924    0.9924    0.9924
  21     0.082297    98.583     0.048227    99.200    99.390    0.9920    0.9919    0.9919
  22     0.079824    98.567     0.053093    99.050    99.390    0.9905    0.9904    0.9904
  23     0.083130    98.233     0.051435    99.280    99.390    0.9929    0.9927    0.9928
  24     0.083289    98.375     0.060638    99.020    99.390    0.9903    0.9900    0.9901
  25     0.084993    98.367     0.044373    99.360    99.390    0.9937    0.9935    0.9936
  26     0.075529    98.500     0.044272    99.320    99.390    0.9932    0.9931    0.9931
  27     0.062016    98.883     0.038640    99.260    99.390    0.9925    0.9925    0.9925
  28     0.067842    98.642     0.047674    99.200    99.390    0.9920    0.9919    0.9919
  29     0.064810    98.667     0.046993    99.260    99.390    0.9927    0.9925    0.9926
  30     0.063197    98.733     0.032899    99.510    99.510    0.9951    0.9950    0.9950
  31     0.062314    98.750     0.056016    99.170    99.510    0.9916    0.9918    0.9917
  32     0.059540    98.833     0.037542    99.350    99.510    0.9936    0.9934    0.9935
  33     0.054781    98.983     0.034798    99.420    99.510    0.9943    0.9941    0.9942
