# ModelM7 Training Log - Custom Data Percentage
# Data Percentage: 55% (33000 samples)
# Seed: 52
# Epochs: 150
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.737452    82.985     0.225600    98.150    98.150    0.9814    0.9816    0.9814
   1     0.315457    95.382     0.134375    98.820    98.820    0.9884    0.9880    0.9882
   2     0.219190    96.652     0.109171    98.970    98.970    0.9898    0.9896    0.9896
   3     0.178135    96.903     0.084430    99.230    99.230    0.9923    0.9924    0.9923
   4     0.146840    97.342     0.118531    98.830    99.230    0.9883    0.9883    0.9882
   5     0.128497    97.542     0.060319    99.290    99.290    0.9929    0.9928    0.9928
   6     0.110551    97.782     0.086779    98.730    99.290    0.9876    0.9872    0.9872
   7     0.097853    97.988     0.078946    98.700    99.290    0.9873    0.9869    0.9870
   8     0.091120    98.045     0.063206    98.950    99.290    0.9896    0.9892    0.9893
   9     0.082056    98.118     0.042948    99.360    99.360    0.9935    0.9936    0.9935
  10     0.079235    98.100     0.046470    99.340    99.360    0.9934    0.9933    0.9933
  11     0.072086    98.291     0.052574    99.010    99.360    0.9902    0.9899    0.9900
  12     0.068281    98.379     0.077841    98.560    99.360    0.9859    0.9857    0.9856
  13     0.060948    98.506     0.061367    98.960    99.360    0.9897    0.9897    0.9897
  14     0.065051    98.352     0.041483    99.230    99.360    0.9923    0.9922    0.9922
  15     0.060594    98.464     0.057651    98.740    99.360    0.9874    0.9876    0.9873
  16     0.060776    98.452     0.030137    99.510    99.510    0.9950    0.9951    0.9950
  17     0.051884    98.688     0.032811    99.370    99.510    0.9937    0.9937    0.9937
  18     0.054080    98.536     0.033954    99.400    99.510    0.9941    0.9940    0.9940
  19     0.050816    98.733     0.093542    97.770    99.510    0.9792    0.9789    0.9783
  20     0.047915    98.785     0.036837    99.240    99.510    0.9925    0.9923    0.9924
  21     0.047052    98.691     0.030346    99.230    99.510    0.9924    0.9922    0.9922
  22     0.042763    98.852     0.040847    99.020    99.510    0.9903    0.9900    0.9901
