# ModelM7 Training Log - Custom Data Percentage
# Data Percentage: 40% (24000 samples)
# Seed: 49
# Epochs: 150
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.830681    80.371     0.248577    98.090    98.090    0.9811    0.9810    0.9809
   1     0.385709    94.204     0.162604    98.640    98.640    0.9865    0.9865    0.9864
   2     0.280736    95.771     0.131654    98.950    98.950    0.9894    0.9895    0.9894
   3     0.227307    96.300     0.122071    98.830    98.950    0.9885    0.9881    0.9882
   4     0.189055    96.888     0.114473    98.610    98.950    0.9864    0.9860    0.9861
   5     0.154517    97.371     0.073899    99.170    99.170    0.9918    0.9915    0.9916
   6     0.138822    97.513     0.077877    98.980    99.170    0.9899    0.9898    0.9898
   7     0.124340    97.662     0.068061    99.190    99.190    0.9918    0.9917    0.9918
   8     0.117922    97.700     0.058248    99.190    99.190    0.9920    0.9918    0.9919
   9     0.105722    97.900     0.069723    99.030    99.190    0.9904    0.9900    0.9901
  10     0.100578    97.846     0.056451    99.290    99.290    0.9929    0.9928    0.9928
  11     0.090854    98.058     0.041301    99.420    99.420    0.9942    0.9940    0.9941
  12     0.086611    98.092     0.090901    98.440    99.420    0.9845    0.9847    0.9845
  13     0.081997    98.208     0.072520    98.650    99.420    0.9868    0.9865    0.9864
  14     0.076022    98.312     0.063969    99.100    99.420    0.9911    0.9910    0.9909
  15     0.070359    98.429     0.065822    98.320    99.420    0.9839    0.9832    0.9832
  16     0.070729    98.325     0.050279    99.150    99.420    0.9915    0.9915    0.9915
  17     0.067446    98.371     0.054982    98.770    99.420    0.9881    0.9875    0.9877
  18     0.063531    98.513     0.042152    99.220    99.420    0.9923    0.9920    0.9921
  19     0.059396    98.592     0.052616    98.830    99.420    0.9884    0.9882    0.9882
  20     0.054868    98.683     0.044311    99.010    99.420    0.9903    0.9899    0.9900
  21     0.052796    98.654     0.034186    99.250    99.420    0.9926    0.9922    0.9924
  22     0.053652    98.646     0.031144    99.340    99.420    0.9934    0.9933    0.9933
  23     0.053100    98.671     0.031199    99.350    99.420    0.9933    0.9935    0.9934
  24     0.045666    98.858     0.029684    99.310    99.420    0.9931    0.9930    0.9930
  25     0.050888    98.750     0.030072    99.380    99.420    0.9938    0.9936    0.9937
  26     0.048112    98.742     0.047132    98.810    99.420    0.9883    0.9875    0.9878
  27     0.046437    98.767     0.035782    99.280    99.420    0.9928    0.9927    0.9927
  28     0.044856    98.838     0.033268    99.110    99.420    0.9914    0.9906    0.9909
  29     0.043679    98.829     0.033815    99.280    99.420    0.9928    0.9928    0.9928
  30     0.045014    98.804     0.025381    99.470    99.470    0.9947    0.9946    0.9946
  31     0.044172    98.800     0.031856    99.240    99.470    0.9924    0.9923    0.9923
  32     0.036185    99.046     0.023234    99.490    99.490    0.9949    0.9948    0.9948
  33     0.038643    99.000     0.036480    98.960    99.490    0.9894    0.9899    0.9896
  34     0.037952    99.000     0.019704    99.500    99.500    0.9950    0.9949    0.9949
  35     0.033574    99.167     0.027146    99.290    99.500    0.9929    0.9929    0.9929
  36     0.035330    99.033     0.023436    99.440    99.500    0.9944    0.9943    0.9943
  37     0.033606    99.133     0.018985    99.470    99.500    0.9948    0.9946    0.9946
  38     0.035108    99.062     0.021358    99.450    99.500    0.9945    0.9944    0.9944
  39     0.034356    99.088     0.022808    99.390    99.500    0.9939    0.9938    0.9938
  40     0.027573    99.308     0.020285    99.440    99.500    0.9943    0.9943    0.9943
