# ModelM7 Training Log - Custom Data Percentage
# Data Percentage: 80% (48000 samples)
# Seed: 57
# Epochs: 150
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.606179    87.465     0.165603    98.810    98.810    0.9882    0.9880    0.9881
   1     0.248819    96.312     0.113923    99.080    99.080    0.9907    0.9908    0.9907
   2     0.171399    97.198     0.092455    99.040    99.080    0.9906    0.9903    0.9904
   3     0.137257    97.350     0.077983    99.060    99.080    0.9909    0.9904    0.9906
   4     0.108363    97.798     0.070963    99.040    99.080    0.9905    0.9904    0.9904
   5     0.096337    97.894     0.072867    98.820    99.080    0.9882    0.9880    0.9880
   6     0.085101    98.069     0.117742    97.820    99.080    0.9791    0.9787    0.9784
   7     0.079369    98.206     0.056103    99.070    99.080    0.9908    0.9906    0.9906
   8     0.075745    98.194     0.056331    99.090    99.090    0.9908    0.9911    0.9909
   9     0.064925    98.356     0.031932    99.480    99.480    0.9948    0.9946    0.9947
  10     0.063797    98.427     0.043148    99.130    99.480    0.9914    0.9911    0.9912
  11     0.059388    98.412     0.032283    99.340    99.480    0.9933    0.9934    0.9933
  12     0.053100    98.617     0.062691    98.460    99.480    0.9853    0.9841    0.9844
  13     0.052295    98.633     0.075775    98.340    99.480    0.9839    0.9830    0.9832
  14     0.052057    98.627     0.033266    99.290    99.480    0.9929    0.9928    0.9928
  15     0.048813    98.652     0.049948    98.870    99.480    0.9888    0.9889    0.9888
  16     0.045922    98.750     0.047814    99.020    99.480    0.9902    0.9902    0.9901
  17     0.042710    98.838     0.027132    99.220    99.480    0.9921    0.9923    0.9922
  18     0.042353    98.779     0.017151    99.480    99.480    0.9948    0.9947    0.9948
  19     0.038604    98.935     0.033408    99.240    99.480    0.9925    0.9922    0.9923
  20     0.038696    98.879     0.020095    99.510    99.510    0.9951    0.9951    0.9951
  21     0.035793    99.004     0.029392    99.210    99.510    0.9922    0.9921    0.9921
  22     0.034561    99.035     0.019336    99.420    99.510    0.9942    0.9941    0.9942
  23     0.034157    99.031     0.029174    99.190    99.510    0.9920    0.9918    0.9918
  24     0.034558    99.008     0.018218    99.440    99.510    0.9944    0.9943    0.9943
  25     0.032476    99.040     0.021938    99.480    99.510    0.9948    0.9947    0.9947
  26     0.033296    99.017     0.019708    99.480    99.510    0.9948    0.9947    0.9947
  27     0.032280    99.075     0.029073    99.190    99.510    0.9919    0.9918    0.9918
  28     0.027637    99.188     0.015424    99.500    99.510    0.9950    0.9949    0.9949
  29     0.029534    99.135     0.012140    99.660    99.660    0.9965    0.9965    0.9965
  30     0.027477    99.204     0.014451    99.610    99.660    0.9961    0.9961    0.9961
  31     0.025523    99.250     0.015531    99.520    99.660    0.9952    0.9951    0.9952
  32     0.025569    99.210     0.015887    99.540    99.660    0.9954    0.9955    0.9954
  33     0.023817    99.306     0.014094    99.530    99.660    0.9953    0.9953    0.9953
  34     0.024595    99.356     0.014264    99.550    99.660    0.9955    0.9955    0.9955
  35     0.021527    99.381     0.014698    99.520    99.660    0.9952    0.9952    0.9952
  36     0.021763    99.333     0.012312    99.630    99.660    0.9962    0.9962    0.9962
  37     0.023506    99.315     0.016626    99.490    99.660    0.9949    0.9948    0.9948
  38     0.022360    99.294     0.013361    99.560    99.660    0.9956    0.9955    0.9955
  39     0.021730    99.373     0.012613    99.640    99.660    0.9964    0.9963    0.9964
  40     0.021656    99.381     0.011451    99.670    99.670    0.9967    0.9966    0.9967
  41     0.020241    99.412     0.011820    99.660    99.670    0.9965    0.9965    0.9965
  42     0.019299    99.421     0.011922    99.640    99.670    0.9964    0.9963    0.9964
  43     0.017999    99.458     0.011328    99.700    99.700    0.9969    0.9969    0.9969
  44     0.018253    99.485     0.013519    99.650    99.700    0.9965    0.9964    0.9965
  45     0.018032    99.442     0.012847    99.630    99.700    0.9963    0.9962    0.9962
  46     0.018210    99.475     0.013028    99.640    99.700    0.9963    0.9963    0.9963
  47     0.017143    99.456     0.011509    99.650    99.700    0.9965    0.9965    0.9965
  48     0.016598    99.492     0.010954    99.620    99.700    0.9962    0.9961    0.9962
  49     0.014912    99.577     0.011892    99.670    99.700    0.9967    0.9966    0.9966
  50     0.016291    99.527     0.012350    99.640    99.700    0.9964    0.9963    0.9963
  51     0.015326    99.558     0.012051    99.620    99.700    0.9961    0.9961    0.9961
  52     0.014828    99.552     0.010824    99.660    99.700    0.9966    0.9965    0.9966
  53     0.014216    99.577     0.012864    99.630    99.700    0.9963    0.9962    0.9963
  54     0.014593    99.550     0.011526    99.650    99.700    0.9965    0.9965    0.9965
  55     0.014671    99.527     0.012168    99.590    99.700    0.9959    0.9958    0.9959
  56     0.014041    99.590     0.012127    99.620    99.700    0.9962    0.9961    0.9961
  57     0.013254    99.596     0.011202    99.670    99.700    0.9967    0.9966    0.9966
  58     0.012449    99.623     0.011691    99.630    99.700    0.9963    0.9962    0.9963
  59     0.011790    99.662     0.012388    99.630    99.700    0.9963    0.9962    0.9962
  60     0.012751    99.640     0.011336    99.620    99.700    0.9962    0.9961    0.9961
  61     0.012142    99.619     0.012393    99.700    99.700    0.9970    0.9970    0.9970
  62     0.012539    99.633     0.011588    99.650    99.700    0.9965    0.9964    0.9965
  63     0.012341    99.638     0.012303    99.730    99.730    0.9973    0.9972    0.9973
  64     0.011444    99.646     0.011717    99.650    99.730    0.9965    0.9964    0.9965
  65     0.012255    99.617     0.013592    99.480    99.730    0.9949    0.9947    0.9948
  66     0.011016    99.706     0.011828    99.590    99.730    0.9959    0.9958    0.9959
  67     0.010830    99.648     0.011818    99.590    99.730    0.9959    0.9959    0.9959
  68     0.011597    99.652     0.011609    99.640    99.730    0.9964    0.9963    0.9964
  69     0.010785    99.679     0.011791    99.620    99.730    0.9962    0.9961    0.9962
  70     0.009997    99.742     0.011389    99.690    99.730    0.9969    0.9969    0.9969
  71     0.010029    99.706     0.012850    99.610    99.730    0.9960    0.9961    0.9961
  72     0.009909    99.702     0.013189    99.610    99.730    0.9961    0.9960    0.9961
  73     0.009990    99.715     0.011649    99.630    99.730    0.9963    0.9963    0.9963
  74     0.009308    99.756     0.010822    99.690    99.730    0.9969    0.9968    0.9969
  75     0.008584    99.750     0.013608    99.580    99.730    0.9958    0.9957    0.9958
  76     0.009408    99.700     0.012829    99.590    99.730    0.9959    0.9959    0.9959
  77     0.009234    99.717     0.012355    99.680    99.730    0.9968    0.9967    0.9968
  78     0.007804    99.767     0.015650    99.590    99.730    0.9959    0.9958    0.9959
  79     0.008523    99.754     0.013519    99.630    99.730    0.9963    0.9963    0.9963
  80     0.009196    99.725     0.012150    99.740    99.740    0.9974    0.9973    0.9973
  81     0.008193    99.750     0.013242    99.640    99.740    0.9964    0.9963    0.9963
  82     0.008291    99.744     0.012193    99.640    99.740    0.9964    0.9964    0.9964
  83     0.007462    99.781     0.013705    99.660    99.740    0.9966    0.9965    0.9966
  84     0.007406    99.781     0.013744    99.660    99.740    0.9966    0.9965    0.9966
  85     0.007858    99.758     0.012049    99.710    99.740    0.9971    0.9970    0.9971
  86     0.007795    99.775     0.012373    99.630    99.740    0.9963    0.9962    0.9963
  87     0.008409    99.744     0.012182    99.680    99.740    0.9968    0.9967    0.9968
  88     0.008063    99.765     0.013438    99.640    99.740    0.9964    0.9964    0.9964
  89     0.007096    99.802     0.012434    99.680    99.740    0.9968    0.9968    0.9968
  90     0.006449    99.794     0.012121    99.710    99.740    0.9971    0.9971    0.9971
  91     0.006900    99.800     0.013082    99.660    99.740    0.9966    0.9966    0.9966
  92     0.007155    99.783     0.012421    99.670    99.740    0.9967    0.9966    0.9967
  93     0.007168    99.796     0.012943    99.660    99.740    0.9966    0.9966    0.9966
  94     0.007766    99.769     0.012281    99.690    99.740    0.9969    0.9969    0.9969
  95     0.007414    99.785     0.012248    99.630    99.740    0.9963    0.9963    0.9963
  96     0.007014    99.783     0.012594    99.680    99.740    0.9968    0.9967    0.9968
  97     0.006225    99.810     0.013725    99.590    99.740    0.9959    0.9959    0.9959
  98     0.006451    99.798     0.012526    99.650    99.740    0.9965    0.9965    0.9965
  99     0.006708    99.781     0.013022    99.690    99.740    0.9969    0.9969    0.9969
 100     0.006384    99.844     0.013969    99.670    99.740    0.9967    0.9967    0.9967
 101     0.006293    99.819     0.014937    99.570    99.740    0.9957    0.9957    0.9957
 102     0.006158    99.833     0.013603    99.610    99.740    0.9961    0.9960    0.9961
 103     0.005577    99.833     0.011849    99.660    99.740    0.9966    0.9966    0.9966
 104     0.006259    99.827     0.012488    99.670    99.740    0.9967    0.9967    0.9967
 105     0.006301    99.804     0.014082    99.630    99.740    0.9963    0.9962    0.9963
 106     0.005964    99.842     0.013146    99.620    99.740    0.9962    0.9962    0.9962
 107     0.005054    99.850     0.012452    99.660    99.740    0.9966    0.9966    0.9966
 108     0.006438    99.792     0.014854    99.560    99.740    0.9956    0.9955    0.9956
 109     0.005211    99.860     0.011284    99.690    99.740    0.9969    0.9969    0.9969
 110     0.005113    99.846     0.013141    99.640    99.740    0.9964    0.9963    0.9964
 111     0.005706    99.840     0.012359    99.670    99.740    0.9967    0.9966    0.9967
 112     0.005391    99.840     0.012841    99.630    99.740    0.9963    0.9963    0.9963
 113     0.005276    99.829     0.011668    99.650    99.740    0.9965    0.9964    0.9965
 114     0.005472    99.846     0.012491    99.640    99.740    0.9964    0.9963    0.9964
 115     0.004903    99.869     0.011812    99.660    99.740    0.9966    0.9966    0.9966
 116     0.004879    99.865     0.011306    99.680    99.740    0.9968    0.9968    0.9968
 117     0.005544    99.858     0.011957    99.650    99.740    0.9965    0.9965    0.9965
 118     0.005052    99.852     0.012081    99.660    99.740    0.9966    0.9966    0.9966
 119     0.005038    99.856     0.012830    99.630    99.740    0.9963    0.9962    0.9963
 120     0.004927    99.848     0.012464    99.620    99.740    0.9962    0.9962    0.9962
 121     0.005404    99.840     0.013830    99.660    99.740    0.9966    0.9965    0.9966
 122     0.004902    99.852     0.011900    99.680    99.740    0.9968    0.9968    0.9968
 123     0.004607    99.871     0.012089    99.640    99.740    0.9964    0.9964    0.9964
 124     0.004288    99.879     0.013046    99.690    99.740    0.9969    0.9968    0.9969
 125     0.004174    99.894     0.012419    99.640    99.740    0.9964    0.9964    0.9964
 126     0.004435    99.865     0.011702    99.690    99.740    0.9969    0.9969    0.9969
 127     0.004262    99.865     0.011838    99.670    99.740    0.9967    0.9967    0.9967
 128     0.004318    99.885     0.012194    99.650    99.740    0.9965    0.9965    0.9965
 129     0.004629    99.860     0.012583    99.630    99.740    0.9963    0.9963    0.9963
 130     0.004943    99.856     0.011351    99.670    99.740    0.9967    0.9967    0.9967
 131     0.004162    99.883     0.011212    99.720    99.740    0.9972    0.9971    0.9972
 132     0.004447    99.881     0.012359    99.640    99.740    0.9964    0.9964    0.9964
 133     0.003580    99.906     0.012840    99.640    99.740    0.9964    0.9963    0.9964
 134     0.004358    99.877     0.012330    99.680    99.740    0.9968    0.9968    0.9968
