# ModelM7 Training Log - Custom Data Percentage
# Data Percentage: 100% (60000 samples)
# Seed: 61
# Epochs: 150
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.537597    89.237     0.147796    98.960    98.960    0.9897    0.9895    0.9896
   1     0.213952    96.550     0.108876    98.680    98.960    0.9872    0.9867    0.9868
   2     0.146443    97.263     0.113819    98.850    98.960    0.9884    0.9888    0.9885
   3     0.113545    97.675     0.057848    99.230    99.230    0.9923    0.9923    0.9923
   4     0.096463    97.878     0.065137    99.040    99.230    0.9905    0.9900    0.9902
   5     0.082591    98.097     0.057555    99.030    99.230    0.9903    0.9903    0.9903
   6     0.078014    98.132     0.058803    98.910    99.230    0.9893    0.9889    0.9890
   7     0.067248    98.372     0.032065    99.530    99.530    0.9953    0.9952    0.9952
   8     0.064136    98.318     0.061082    98.880    99.530    0.9889    0.9889    0.9887
   9     0.060764    98.377     0.060142    98.850    99.530    0.9888    0.9881    0.9883
  10     0.055072    98.570     0.034403    99.190    99.530    0.9920    0.9919    0.9919
  11     0.052505    98.548     0.029455    99.240    99.530    0.9924    0.9922    0.9923
  12     0.050206    98.607     0.043698    98.960    99.530    0.9899    0.9897    0.9897
  13     0.048696    98.660     0.039997    99.320    99.530    0.9931    0.9932    0.9932
  14     0.044970    98.743     0.033546    99.170    99.530    0.9919    0.9917    0.9917
  15     0.042722    98.798     0.016797    99.540    99.540    0.9953    0.9954    0.9953
  16     0.041564    98.820     0.041195    98.900    99.540    0.9892    0.9889    0.9890
  17     0.038113    98.928     0.029798    99.240    99.540    0.9925    0.9924    0.9924
  18     0.038957    98.880     0.019290    99.490    99.540    0.9950    0.9949    0.9949
  19     0.037907    98.937     0.026813    99.310    99.540    0.9929    0.9931    0.9929
  20     0.036392    99.023     0.042860    98.890    99.540    0.9889    0.9891    0.9889
  21     0.033903    99.037     0.020918    99.410    99.540    0.9941    0.9939    0.9940
  22     0.033206    99.068     0.018301    99.430    99.540    0.9944    0.9941    0.9942
  23     0.031497    99.100     0.019122    99.430    99.540    0.9943    0.9942    0.9942
  24     0.031391    99.073     0.016050    99.450    99.540    0.9946    0.9943    0.9944
  25     0.029578    99.178     0.014095    99.610    99.610    0.9961    0.9960    0.9960
  26     0.028360    99.130     0.016981    99.520    99.610    0.9952    0.9952    0.9952
  27     0.027635    99.195     0.017835    99.460    99.610    0.9946    0.9946    0.9946
  28     0.025207    99.295     0.012155    99.640    99.640    0.9965    0.9963    0.9964
  29     0.025981    99.183     0.015353    99.570    99.640    0.9957    0.9956    0.9956
  30     0.024116    99.273     0.015027    99.570    99.640    0.9957    0.9956    0.9956
  31     0.025160    99.260     0.016063    99.570    99.640    0.9957    0.9956    0.9956
  32     0.022893    99.360     0.014793    99.560    99.640    0.9956    0.9955    0.9955
  33     0.023722    99.295     0.013152    99.630    99.640    0.9963    0.9962    0.9963
  34     0.023010    99.327     0.015886    99.470    99.640    0.9947    0.9947    0.9947
  35     0.021244    99.373     0.014015    99.610    99.640    0.9962    0.9960    0.9961
  36     0.021295    99.368     0.012268    99.660    99.660    0.9966    0.9965    0.9966
  37     0.020780    99.422     0.012357    99.660    99.660    0.9966    0.9965    0.9966
  38     0.018881    99.438     0.011758    99.720    99.720    0.9972    0.9972    0.9972
  39     0.020558    99.385     0.013411    99.620    99.720    0.9963    0.9961    0.9962
  40     0.018398    99.482     0.012216    99.620    99.720    0.9962    0.9961    0.9962
  41     0.019573    99.415     0.010592    99.710    99.720    0.9971    0.9970    0.9971
  42     0.018801    99.457     0.012633    99.620    99.720    0.9962    0.9961    0.9962
  43     0.017031    99.497     0.012799    99.670    99.720    0.9967    0.9966    0.9967
  44     0.017548    99.470     0.011489    99.640    99.720    0.9964    0.9963    0.9964
  45     0.015852    99.523     0.010133    99.690    99.720    0.9969    0.9968    0.9969
  46     0.016197    99.510     0.011719    99.740    99.740    0.9974    0.9973    0.9974
  47     0.016887    99.497     0.012775    99.650    99.740    0.9966    0.9965    0.9965
  48     0.016325    99.528     0.010817    99.670    99.740    0.9967    0.9966    0.9967
  49     0.015795    99.535     0.011460    99.720    99.740    0.9972    0.9971    0.9972
  50     0.015325    99.535     0.010625    99.670    99.740    0.9967    0.9966    0.9967
  51     0.014288    99.552     0.009716    99.710    99.740    0.9971    0.9971    0.9971
  52     0.014831    99.533     0.009917    99.690    99.740    0.9969    0.9969    0.9969
  53     0.014608    99.608     0.013345    99.640    99.740    0.9964    0.9964    0.9964
  54     0.013466    99.597     0.013412    99.600    99.740    0.9960    0.9959    0.9960
  55     0.013911    99.602     0.012986    99.670    99.740    0.9967    0.9966    0.9967
  56     0.012952    99.627     0.011684    99.670    99.740    0.9967    0.9966    0.9967
  57     0.012939    99.607     0.010869    99.650    99.740    0.9965    0.9964    0.9965
  58     0.013496    99.595     0.010819    99.650    99.740    0.9965    0.9964    0.9965
  59     0.012915    99.633     0.011719    99.660    99.740    0.9966    0.9965    0.9966
  60     0.012316    99.643     0.011918    99.630    99.740    0.9963    0.9962    0.9963
  61     0.012004    99.670     0.011761    99.690    99.740    0.9969    0.9969    0.9969
  62     0.011448    99.677     0.010685    99.650    99.740    0.9965    0.9964    0.9965
  63     0.012054    99.628     0.010876    99.700    99.740    0.9970    0.9970    0.9970
  64     0.012371    99.610     0.010604    99.650    99.740    0.9965    0.9964    0.9965
  65     0.012638    99.608     0.010457    99.640    99.740    0.9964    0.9963    0.9964
  66     0.011041    99.657     0.011233    99.670    99.740    0.9967    0.9966    0.9967
  67     0.010414    99.685     0.010640    99.660    99.740    0.9966    0.9965    0.9965
  68     0.011333    99.642     0.010100    99.710    99.740    0.9971    0.9971    0.9971
  69     0.011021    99.683     0.011632    99.680    99.740    0.9968    0.9968    0.9968
  70     0.010302    99.707     0.011248    99.670    99.740    0.9967    0.9966    0.9967
  71     0.009006    99.727     0.011676    99.690    99.740    0.9968    0.9969    0.9969
  72     0.009086    99.753     0.010768    99.690    99.740    0.9969    0.9969    0.9969
  73     0.009129    99.728     0.009872    99.680    99.740    0.9968    0.9967    0.9968
  74     0.009298    99.717     0.011385    99.650    99.740    0.9965    0.9964    0.9965
  75     0.009595    99.727     0.010631    99.650    99.740    0.9965    0.9964    0.9965
  76     0.009379    99.720     0.010162    99.740    99.740    0.9974    0.9974    0.9974
  77     0.009285    99.707     0.010077    99.750    99.750    0.9975    0.9974    0.9975
  78     0.008722    99.753     0.010691    99.670    99.750    0.9967    0.9967    0.9967
  79     0.008865    99.738     0.010500    99.700    99.750    0.9970    0.9969    0.9970
  80     0.007861    99.770     0.010245    99.690    99.750    0.9969    0.9968    0.9969
  81     0.008262    99.752     0.010715    99.710    99.750    0.9971    0.9970    0.9971
  82     0.007770    99.770     0.009654    99.700    99.750    0.9970    0.9969    0.9970
  83     0.007940    99.765     0.010967    99.620    99.750    0.9962    0.9961    0.9962
  84     0.008606    99.738     0.010019    99.690    99.750    0.9969    0.9968    0.9969
  85     0.007863    99.775     0.010496    99.690    99.750    0.9969    0.9968    0.9969
  86     0.007123    99.782     0.010625    99.720    99.750    0.9972    0.9971    0.9972
  87     0.007027    99.825     0.010256    99.640    99.750    0.9964    0.9963    0.9964
  88     0.007754    99.773     0.010567    99.690    99.750    0.9969    0.9969    0.9969
  89     0.008374    99.760     0.011420    99.640    99.750    0.9964    0.9963    0.9964
  90     0.006967    99.793     0.010805    99.650    99.750    0.9965    0.9964    0.9965
  91     0.007453    99.753     0.012812    99.640    99.750    0.9964    0.9963    0.9964
  92     0.007294    99.785     0.011282    99.650    99.750    0.9965    0.9964    0.9965
  93     0.007357    99.782     0.010972    99.690    99.750    0.9969    0.9968    0.9969
  94     0.007789    99.778     0.011435    99.690    99.750    0.9969    0.9969    0.9969
  95     0.006193    99.817     0.010678    99.690    99.750    0.9969    0.9968    0.9969
  96     0.007155    99.792     0.010983    99.670    99.750    0.9967    0.9966    0.9967
  97     0.007717    99.765     0.012036    99.640    99.750    0.9964    0.9963    0.9964
  98     0.006697    99.810     0.011881    99.640    99.750    0.9964    0.9963    0.9964
  99     0.006397    99.798     0.011576    99.640    99.750    0.9964    0.9963    0.9964
 100     0.006458    99.815     0.010638    99.670    99.750    0.9967    0.9966    0.9967
 101     0.005881    99.815     0.011960    99.610    99.750    0.9961    0.9960    0.9961
 102     0.006081    99.848     0.011272    99.670    99.750    0.9967    0.9966    0.9967
 103     0.006054    99.838     0.011152    99.630    99.750    0.9963    0.9962    0.9963
 104     0.006048    99.837     0.011305    99.640    99.750    0.9964    0.9963    0.9964
 105     0.006149    99.820     0.011471    99.670    99.750    0.9967    0.9966    0.9967
 106     0.005885    99.812     0.012290    99.620    99.750    0.9962    0.9961    0.9962
 107     0.006155    99.818     0.012387    99.610    99.750    0.9961    0.9960    0.9961
 108     0.005437    99.827     0.011729    99.660    99.750    0.9966    0.9965    0.9966
 109     0.005954    99.833     0.011517    99.640    99.750    0.9964    0.9963    0.9964
 110     0.005190    99.852     0.010765    99.680    99.750    0.9968    0.9967    0.9968
 111     0.005432    99.838     0.012274    99.630    99.750    0.9963    0.9962    0.9963
 112     0.006010    99.827     0.012793    99.650    99.750    0.9966    0.9964    0.9965
 113     0.005729    99.842     0.011796    99.690    99.750    0.9969    0.9968    0.9969
 114     0.005710    99.830     0.012374    99.640    99.750    0.9964    0.9963    0.9964
 115     0.005310    99.850     0.013274    99.640    99.750    0.9964    0.9963    0.9964
 116     0.005256    99.830     0.012138    99.630    99.750    0.9963    0.9962    0.9963
 117     0.005357    99.852     0.011623    99.650    99.750    0.9965    0.9964    0.9965
 118     0.004693    99.850     0.011770    99.630    99.750    0.9963    0.9963    0.9963
 119     0.005576    99.832     0.012242    99.660    99.750    0.9966    0.9965    0.9966
 120     0.005292    99.850     0.013671    99.640    99.750    0.9964    0.9963    0.9964
 121     0.004477    99.873     0.012301    99.700    99.750    0.9970    0.9969    0.9970
 122     0.005074    99.850     0.012416    99.700    99.750    0.9970    0.9969    0.9970
 123     0.004818    99.865     0.012382    99.660    99.750    0.9966    0.9965    0.9966
 124     0.004860    99.863     0.012293    99.680    99.750    0.9968    0.9968    0.9968
 125     0.004625    99.845     0.011860    99.700    99.750    0.9970    0.9969    0.9970
 126     0.004518    99.872     0.011116    99.670    99.750    0.9967    0.9966    0.9967
 127     0.004734    99.865     0.011543    99.670    99.750    0.9967    0.9966    0.9967
 128     0.004947    99.870     0.013263    99.630    99.750    0.9963    0.9962    0.9963
 129     0.004210    99.882     0.012836    99.620    99.750    0.9962    0.9962    0.9962
 130     0.004705    99.870     0.012502    99.640    99.750    0.9964    0.9963    0.9964
 131     0.005082    99.843     0.012547    99.630    99.750    0.9963    0.9962    0.9963
 132     0.004030    99.882     0.010686    99.680    99.750    0.9968    0.9968    0.9968
 133     0.003982    99.895     0.011388    99.680    99.750    0.9968    0.9967    0.9968
 134     0.003760    99.897     0.012425    99.640    99.750    0.9964    0.9963    0.9964
 135     0.004604    99.858     0.012709    99.640    99.750    0.9964    0.9963    0.9964
 136     0.003817    99.885     0.010922    99.670    99.750    0.9967    0.9967    0.9967
 137     0.004870    99.865     0.010929    99.660    99.750    0.9966    0.9966    0.9966
 138     0.004255    99.868     0.010944    99.690    99.750    0.9969    0.9969    0.9969
 139     0.004579    99.857     0.011831    99.630    99.750    0.9963    0.9962    0.9963
 140     0.004174    99.877     0.011866    99.620    99.750    0.9962    0.9961    0.9962
 141     0.004341    99.877     0.012122    99.650    99.750    0.9965    0.9964    0.9965
 142     0.003578    99.908     0.011995    99.610    99.750    0.9961    0.9960    0.9961
 143     0.004237    99.883     0.012000    99.660    99.750    0.9966    0.9965    0.9966
 144     0.003869    99.868     0.012013    99.640    99.750    0.9964    0.9963    0.9964
 145     0.003744    99.902     0.011927    99.650    99.750    0.9965    0.9964    0.9965
 146     0.004025    99.897     0.011613    99.650    99.750    0.9965    0.9965    0.9965
 147     0.003692    99.898     0.011891    99.640    99.750    0.9964    0.9963    0.9964
 148     0.003770    99.893     0.013113    99.650    99.750    0.9965    0.9964    0.9965
 149     0.004022    99.882     0.011210    99.700    99.750    0.9970    0.9969    0.9970
