# ModelM7 Training Log - Custom Data Percentage
# Data Percentage: 60% (36000 samples)
# Seed: 53
# Epochs: 150
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.696376    84.708     0.221593    98.440    98.440    0.9846    0.9843    0.9844
   1     0.301762    95.417     0.137294    98.840    98.840    0.9886    0.9881    0.9883
   2     0.213905    96.542     0.128585    98.830    98.840    0.9884    0.9882    0.9882
   3     0.162824    97.192     0.078173    99.240    99.240    0.9924    0.9923    0.9924
   4     0.138017    97.422     0.094694    98.820    99.240    0.9882    0.9879    0.9880
   5     0.118432    97.633     0.111434    98.070    99.240    0.9819    0.9800    0.9803
   6     0.103233    97.939     0.084673    98.640    99.240    0.9869    0.9866    0.9865
   7     0.097858    97.758     0.097555    98.320    99.240    0.9839    0.9835    0.9834
   8     0.086355    98.039     0.088282    98.520    99.240    0.9855    0.9855    0.9853
   9     0.079408    98.122     0.050653    99.090    99.240    0.9911    0.9909    0.9909
  10     0.077944    98.181     0.050706    99.250    99.250    0.9926    0.9924    0.9925
  11     0.071008    98.206     0.063770    98.910    99.250    0.9892    0.9891    0.9890
  12     0.065077    98.325     0.086413    97.750    99.250    0.9786    0.9790    0.9780
  13     0.063548    98.358     0.095261    97.580    99.250    0.9781    0.9763    0.9761
  14     0.061729    98.383     0.041057    99.390    99.390    0.9938    0.9938    0.9938
  15     0.056832    98.503     0.031468    99.400    99.400    0.9940    0.9939    0.9939
  16     0.056101    98.547     0.032511    99.270    99.400    0.9927    0.9927    0.9926
  17     0.052203    98.567     0.046686    99.120    99.400    0.9912    0.9912    0.9912
  18     0.049703    98.633     0.035667    99.160    99.400    0.9916    0.9916    0.9916
  19     0.046914    98.767     0.046251    98.980    99.400    0.9899    0.9900    0.9899
  20     0.043760    98.836     0.029530    99.410    99.410    0.9941    0.9939    0.9940
  21     0.045107    98.750     0.033027    99.130    99.410    0.9914    0.9910    0.9911
  22     0.042467    98.864     0.025426    99.410    99.410    0.9942    0.9940    0.9941
  23     0.043214    98.817     0.020012    99.520    99.520    0.9952    0.9951    0.9951
  24     0.040066    98.878     0.020988    99.460    99.520    0.9945    0.9946    0.9945
  25     0.038143    98.994     0.021772    99.470    99.520    0.9947    0.9946    0.9946
  26     0.038477    98.939     0.021904    99.360    99.520    0.9936    0.9935    0.9935
  27     0.036781    98.992     0.019689    99.540    99.540    0.9954    0.9954    0.9954
  28     0.035810    98.989     0.015980    99.560    99.560    0.9957    0.9955    0.9956
  29     0.034896    99.047     0.031444    99.260    99.560    0.9926    0.9927    0.9926
  30     0.034246    99.011     0.025824    99.440    99.560    0.9944    0.9944    0.9944
  31     0.030129    99.186     0.014851    99.620    99.620    0.9962    0.9961    0.9962
  32     0.031288    99.103     0.068621    97.720    99.620    0.9794    0.9789    0.9781
  33     0.030764    99.139     0.018004    99.480    99.620    0.9949    0.9947    0.9948
  34     0.028906    99.150     0.017488    99.550    99.620    0.9955    0.9954    0.9955
