# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 45% (27000 samples)
# Seed: 50
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.401451    96.170     0.231435    98.950    98.950    0.9896    0.9894    0.9895
   1     0.214090    98.767     0.151524    99.310    99.310    0.9931    0.9931    0.9931
   2     0.148597    99.085     0.113393    99.430    99.430    0.9943    0.9943    0.9943
   3     0.109873    99.304     0.094267    99.460    99.460    0.9946    0.9945    0.9946
   4     0.086790    99.385     0.073637    99.450    99.460    0.9945    0.9945    0.9945
   5     0.066184    99.585     0.074618    99.420    99.460    0.9942    0.9941    0.9942
   6     0.054559    99.619     0.078472    99.420    99.460    0.9942    0.9941    0.9941
   7     0.044832    99.711     0.050162    99.390    99.460    0.9939    0.9938    0.9939
   8     0.039940    99.685     0.065823    99.090    99.460    0.9909    0.9911    0.9910
   9     0.034257    99.744     0.048892    99.310    99.460    0.9931    0.9931    0.9931
  10     0.029637    99.767     0.037386    99.450    99.460    0.9946    0.9944    0.9945
  11     0.024244    99.859     0.037863    99.340    99.460    0.9934    0.9933    0.9934
  12     0.021336    99.833     0.036700    99.410    99.460    0.9941    0.9941    0.9941
  13     0.017161    99.915     0.031401    99.310    99.460    0.9931    0.9931    0.9931
  14     0.017808    99.844     0.029981    99.460    99.460    0.9946    0.9946    0.9946
  15     0.013631    99.919     0.028722    99.440    99.460    0.9944    0.9943    0.9944
  16     0.018015    99.752     0.052624    99.140    99.460    0.9915    0.9914    0.9914
  17     0.012948    99.896     0.025375    99.410    99.460    0.9941    0.9940    0.9940
  18     0.010125    99.937     0.031603    99.410    99.460    0.9941    0.9941    0.9941
  19     0.011224    99.889     0.039370    99.360    99.460    0.9936    0.9936    0.9936
  20     0.008790    99.944     0.025330    99.430    99.460    0.9943    0.9942    0.9943
