# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 70% (42000 samples)
# Seed: 55
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.337897    97.093     0.178016    99.090    99.090    0.9908    0.9909    0.9909
   1     0.159714    98.974     0.111909    99.380    99.380    0.9938    0.9937    0.9938
   2     0.101433    99.198     0.094868    99.360    99.380    0.9936    0.9936    0.9936
   3     0.073911    99.295     0.084051    99.510    99.510    0.9952    0.9949    0.9951
   4     0.055260    99.452     0.063064    99.450    99.510    0.9945    0.9944    0.9944
   5     0.043421    99.507     0.042872    99.580    99.580    0.9958    0.9958    0.9958
   6     0.036083    99.569     0.033016    99.540    99.580    0.9955    0.9953    0.9954
   7     0.026401    99.743     0.026186    99.590    99.590    0.9959    0.9958    0.9959
   8     0.024644    99.710     0.039574    99.460    99.590    0.9946    0.9945    0.9946
   9     0.021131    99.717     0.028421    99.510    99.590    0.9951    0.9950    0.9950
  10     0.016963    99.802     0.024982    99.600    99.600    0.9960    0.9959    0.9960
  11     0.015911    99.776     0.039720    99.370    99.600    0.9938    0.9936    0.9937
  12     0.015493    99.762     0.027696    99.530    99.600    0.9953    0.9952    0.9952
  13     0.014425    99.738     0.036371    99.340    99.600    0.9935    0.9933    0.9933
  14     0.012705    99.779     0.036907    99.300    99.600    0.9931    0.9928    0.9929
  15     0.009974    99.843     0.019312    99.510    99.600    0.9951    0.9950    0.9951
  16     0.008487    99.860     0.021468    99.440    99.600    0.9944    0.9943    0.9943
  17     0.008373    99.852     0.025241    99.360    99.600    0.9936    0.9935    0.9935
  18     0.008641    99.831     0.027677    99.500    99.600    0.9950    0.9949    0.9950
  19     0.009205    99.800     0.037385    99.220    99.600    0.9922    0.9921    0.9921
  20     0.005145    99.931     0.017978    99.520    99.600    0.9952    0.9951    0.9952
  21     0.005907    99.898     0.022751    99.460    99.600    0.9947    0.9945    0.9946
  22     0.004216    99.938     0.018184    99.460    99.600    0.9946    0.9945    0.9946
  23     0.002679    99.967     0.017551    99.540    99.600    0.9954    0.9953    0.9954
  24     0.008775    99.793     0.038757    99.130    99.600    0.9915    0.9909    0.9912
  25     0.004521    99.914     0.019972    99.570    99.600    0.9957    0.9957    0.9957
  26     0.002732    99.964     0.015372    99.570    99.600    0.9957    0.9956    0.9957
  27     0.001460    99.995     0.015116    99.580    99.600    0.9958    0.9958    0.9958
  28     0.001995    99.979     0.017274    99.490    99.600    0.9949    0.9948    0.9948
  29     0.004181    99.921     0.018859    99.560    99.600    0.9956    0.9956    0.9956
  30     0.002863    99.950     0.025277    99.310    99.600    0.9930    0.9931    0.9930
  31     0.004304    99.907     0.021227    99.430    99.600    0.9944    0.9941    0.9942
  32     0.003105    99.943     0.018368    99.510    99.600    0.9951    0.9950    0.9951
  33     0.001807    99.971     0.015527    99.570    99.600    0.9957    0.9956    0.9957
  34     0.001739    99.957     0.020609    99.420    99.600    0.9943    0.9941    0.9942
  35     0.003533    99.905     0.027141    99.320    99.600    0.9933    0.9931    0.9932
  36     0.003571    99.926     0.018899    99.490    99.600    0.9949    0.9948    0.9949
  37     0.001577    99.974     0.017034    99.570    99.600    0.9957    0.9956    0.9956
  38     0.000639   100.000     0.016248    99.580    99.600    0.9958    0.9957    0.9957
  39     0.000419   100.000     0.016363    99.550    99.600    0.9955    0.9954    0.9954
  40     0.000368   100.000     0.017068    99.560    99.600    0.9956    0.9955    0.9956
  41     0.001928    99.974     0.019754    99.410    99.600    0.9941    0.9940    0.9941
  42     0.002134    99.957     0.019226    99.490    99.600    0.9949    0.9948    0.9949
  43     0.002419    99.948     0.018928    99.500    99.600    0.9950    0.9949    0.9949
  44     0.001424    99.971     0.020833    99.450    99.600    0.9945    0.9945    0.9945
  45     0.001147    99.981     0.018063    99.540    99.600    0.9954    0.9953    0.9954
  46     0.000459    99.998     0.017272    99.570    99.600    0.9957    0.9956    0.9957
  47     0.001840    99.964     0.019404    99.540    99.600    0.9954    0.9954    0.9954
  48     0.000789    99.993     0.021975    99.470    99.600    0.9947    0.9946    0.9947
  49     0.000333    99.998     0.019203    99.570    99.600    0.9957    0.9956    0.9957
  50     0.000345    99.998     0.018578    99.560    99.600    0.9956    0.9956    0.9956
  51     0.000585    99.995     0.020085    99.560    99.600    0.9956    0.9955    0.9956
  52     0.000830    99.986     0.019331    99.570    99.600    0.9957    0.9956    0.9957
  53     0.001828    99.957     0.019711    99.550    99.600    0.9955    0.9955    0.9955
  54     0.001345    99.969     0.021174    99.480    99.600    0.9949    0.9947    0.9948
  55     0.000750    99.988     0.020025    99.520    99.600    0.9952    0.9951    0.9952
  56     0.000294    99.998     0.019901    99.510    99.600    0.9951    0.9951    0.9951
  57     0.000214   100.000     0.020161    99.520    99.600    0.9952    0.9951    0.9952
  58     0.000178   100.000     0.020290    99.530    99.600    0.9953    0.9952    0.9953
  59     0.000153   100.000     0.020158    99.540    99.600    0.9954    0.9953    0.9954
  60     0.000145   100.000     0.021479    99.480    99.600    0.9948    0.9947    0.9948
  61     0.000777    99.974     0.025392    99.410    99.600    0.9941    0.9940    0.9940
  62     0.001131    99.976     0.021290    99.440    99.600    0.9944    0.9943    0.9944
  63     0.000798    99.993     0.019222    99.530    99.600    0.9953    0.9952    0.9953
  64     0.000213   100.000     0.019298    99.560    99.600    0.9956    0.9956    0.9956
  65     0.000452    99.993     0.025466    99.460    99.600    0.9947    0.9946    0.9946
  66     0.000372    99.990     0.021851    99.530    99.600    0.9953    0.9953    0.9953
  67     0.000154   100.000     0.020115    99.560    99.600    0.9956    0.9956    0.9956
  68     0.000126   100.000     0.019609    99.550    99.600    0.9955    0.9954    0.9955
  69     0.000106   100.000     0.019330    99.580    99.600    0.9958    0.9957    0.9958
  70     0.000097   100.000     0.018801    99.570    99.600    0.9957    0.9957    0.9957
  71     0.000105   100.000     0.018755    99.590    99.600    0.9959    0.9958    0.9959
  72     0.000088   100.000     0.019352    99.560    99.600    0.9956    0.9955    0.9956
  73     0.000079   100.000     0.018948    99.600    99.600    0.9960    0.9959    0.9960
  74     0.000074   100.000     0.018843    99.590    99.600    0.9959    0.9958    0.9959
  75     0.000068   100.000     0.018800    99.590    99.600    0.9959    0.9958    0.9959
  76     0.000066   100.000     0.018926    99.600    99.600    0.9960    0.9959    0.9960
  77     0.000063   100.000     0.018387    99.600    99.600    0.9960    0.9959    0.9960
  78     0.000059   100.000     0.019525    99.560    99.600    0.9956    0.9955    0.9956
  79     0.000054   100.000     0.019387    99.610    99.610    0.9961    0.9960    0.9961
  80     0.000049   100.000     0.019034    99.620    99.620    0.9962    0.9962    0.9962
  81     0.000049   100.000     0.019609    99.600    99.620    0.9960    0.9960    0.9960
  82     0.000042   100.000     0.019609    99.610    99.620    0.9961    0.9960    0.9961
  83     0.000037   100.000     0.019538    99.620    99.620    0.9962    0.9961    0.9962
  84     0.000035   100.000     0.019619    99.610    99.620    0.9961    0.9960    0.9961
  85     0.000496    99.986     0.021594    99.550    99.620    0.9955    0.9955    0.9955
  86     0.000647    99.988     0.019858    99.540    99.620    0.9954    0.9954    0.9954
  87     0.000143    99.995     0.019223    99.570    99.620    0.9957    0.9956    0.9957
  88     0.000059   100.000     0.019320    99.560    99.620    0.9956    0.9955    0.9956
  89     0.000045   100.000     0.019496    99.560    99.620    0.9956    0.9955    0.9955
  90     0.000044   100.000     0.019246    99.570    99.620    0.9957    0.9956    0.9957
  91     0.000037   100.000     0.019598    99.590    99.620    0.9959    0.9958    0.9958
  92     0.000075   100.000     0.019783    99.580    99.620    0.9958    0.9957    0.9958
  93     0.000048   100.000     0.019917    99.570    99.620    0.9957    0.9956    0.9957
  94     0.000218    99.998     0.019831    99.550    99.620    0.9955    0.9954    0.9955
  95     0.000041   100.000     0.020600    99.560    99.620    0.9956    0.9955    0.9956
  96     0.000037   100.000     0.020882    99.570    99.620    0.9957    0.9956    0.9957
  97     0.000032   100.000     0.021169    99.570    99.620    0.9957    0.9956    0.9957
  98     0.000029   100.000     0.021117    99.580    99.620    0.9958    0.9957    0.9958
  99     0.000027   100.000     0.021281    99.560    99.620    0.9956    0.9955    0.9956
 100     0.000028   100.000     0.020940    99.570    99.620    0.9957    0.9956    0.9957
 101     0.000025   100.000     0.020727    99.570    99.620    0.9957    0.9956    0.9957
 102     0.000028   100.000     0.022765    99.550    99.620    0.9955    0.9954    0.9955
