# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 40% (24000 samples)
# Seed: 49
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.420041    95.646     0.228721    99.030    99.030    0.9903    0.9902    0.9903
   1     0.227088    98.783     0.144685    99.250    99.250    0.9926    0.9924    0.9925
   2     0.158779    99.162     0.120353    99.320    99.320    0.9932    0.9932    0.9932
   3     0.122779    99.229     0.143455    99.220    99.320    0.9923    0.9921    0.9922
   4     0.093613    99.458     0.080218    99.310    99.320    0.9930    0.9931    0.9930
   5     0.075012    99.496     0.075745    99.360    99.360    0.9937    0.9935    0.9936
   6     0.060347    99.708     0.065161    99.490    99.490    0.9949    0.9948    0.9949
   7     0.050722    99.696     0.051764    99.400    99.490    0.9941    0.9938    0.9939
   8     0.040776    99.783     0.062810    99.020    99.490    0.9906    0.9899    0.9902
   9     0.036490    99.817     0.065030    99.220    99.490    0.9921    0.9921    0.9921
  10     0.031286    99.838     0.044584    99.430    99.490    0.9942    0.9943    0.9942
  11     0.027378    99.825     0.041415    99.370    99.490    0.9937    0.9937    0.9937
  12     0.024074    99.871     0.031704    99.420    99.490    0.9942    0.9941    0.9942
  13     0.021824    99.862     0.038140    99.410    99.490    0.9942    0.9939    0.9940
  14     0.020641    99.842     0.090599    99.060    99.490    0.9909    0.9903    0.9906
  15     0.017683    99.896     0.035421    99.300    99.490    0.9929    0.9929    0.9929
  16     0.018765    99.829     0.033417    99.360    99.490    0.9936    0.9935    0.9935
  17     0.012858    99.954     0.026694    99.510    99.510    0.9951    0.9950    0.9951
  18     0.009815    99.979     0.024752    99.440    99.510    0.9944    0.9943    0.9943
  19     0.008556    99.987     0.022237    99.480    99.510    0.9948    0.9947    0.9947
  20     0.008209    99.975     0.019692    99.440    99.510    0.9944    0.9943    0.9944
  21     0.006987    99.987     0.021819    99.360    99.510    0.9936    0.9936    0.9936
