# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 60% (36000 samples)
# Seed: 53
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.361471    96.817     0.202394    99.030    99.030    0.9903    0.9903    0.9903
   1     0.177218    98.956     0.138350    99.310    99.310    0.9931    0.9930    0.9931
   2     0.117371    99.114     0.112938    99.180    99.310    0.9919    0.9917    0.9917
   3     0.086127    99.303     0.093982    99.480    99.480    0.9947    0.9948    0.9948
   4     0.064414    99.436     0.062453    99.380    99.480    0.9937    0.9939    0.9938
   5     0.050438    99.531     0.069143    99.270    99.480    0.9928    0.9926    0.9927
   6     0.041419    99.608     0.050248    99.400    99.480    0.9939    0.9940    0.9940
   7     0.033875    99.664     0.042413    99.410    99.480    0.9941    0.9939    0.9940
   8     0.027578    99.736     0.034001    99.550    99.550    0.9955    0.9954    0.9955
   9     0.024230    99.725     0.034072    99.550    99.550    0.9955    0.9955    0.9955
  10     0.021953    99.744     0.048974    99.290    99.550    0.9929    0.9928    0.9928
  11     0.021201    99.714     0.048509    99.310    99.550    0.9931    0.9931    0.9931
  12     0.017248    99.764     0.052719    99.160    99.550    0.9917    0.9916    0.9915
  13     0.013523    99.867     0.025134    99.510    99.550    0.9951    0.9950    0.9950
  14     0.011632    99.872     0.032954    99.410    99.550    0.9940    0.9941    0.9940
  15     0.010204    99.878     0.023279    99.550    99.550    0.9955    0.9955    0.9954
  16     0.012909    99.794     0.041481    99.260    99.550    0.9926    0.9925    0.9926
  17     0.010741    99.814     0.024229    99.540    99.550    0.9954    0.9953    0.9954
  18     0.008074    99.869     0.022115    99.460    99.550    0.9946    0.9946    0.9946
  19     0.007833    99.878     0.028090    99.340    99.550    0.9936    0.9933    0.9934
  20     0.006630    99.917     0.023735    99.490    99.550    0.9949    0.9948    0.9949
  21     0.009777    99.806     0.064336    99.260    99.550    0.9927    0.9925    0.9926
  22     0.009328    99.828     0.056236    98.800    99.550    0.9881    0.9880    0.9879
  23     0.005189    99.936     0.022911    99.420    99.550    0.9942    0.9942    0.9942
  24     0.004988    99.919     0.017894    99.580    99.580    0.9958    0.9958    0.9958
  25     0.002632    99.978     0.015697    99.550    99.580    0.9955    0.9954    0.9954
  26     0.002122    99.981     0.018437    99.590    99.590    0.9958    0.9959    0.9959
  27     0.007020    99.844     0.041477    99.040    99.590    0.9907    0.9902    0.9904
  28     0.003955    99.947     0.020143    99.460    99.590    0.9946    0.9945    0.9945
  29     0.001931    99.986     0.019143    99.560    99.590    0.9956    0.9955    0.9956
  30     0.001542    99.997     0.019146    99.550    99.590    0.9955    0.9954    0.9955
  31     0.001062    99.997     0.018833    99.590    99.590    0.9959    0.9958    0.9958
  32     0.005077    99.894     0.028510    99.410    99.590    0.9942    0.9940    0.9941
  33     0.006330    99.861     0.039025    99.360    99.590    0.9936    0.9935    0.9936
  34     0.004953    99.881     0.024689    99.550    99.590    0.9955    0.9955    0.9955
  35     0.002634    99.956     0.019733    99.520    99.590    0.9952    0.9952    0.9952
  36     0.001708    99.978     0.017303    99.560    99.590    0.9956    0.9956    0.9956
  37     0.000861    99.997     0.016909    99.590    99.590    0.9959    0.9958    0.9959
  38     0.000614   100.000     0.016962    99.570    99.590    0.9957    0.9956    0.9957
  39     0.000528   100.000     0.016793    99.580    99.590    0.9958    0.9957    0.9958
  40     0.000479   100.000     0.017653    99.560    99.590    0.9956    0.9955    0.9956
  41     0.000441   100.000     0.017283    99.590    99.590    0.9959    0.9958    0.9958
  42     0.000417   100.000     0.018079    99.590    99.590    0.9959    0.9958    0.9958
  43     0.000445   100.000     0.017977    99.520    99.590    0.9952    0.9951    0.9952
  44     0.004434    99.883     0.043814    99.240    99.590    0.9925    0.9923    0.9924
  45     0.005239    99.856     0.020332    99.460    99.590    0.9947    0.9945    0.9946
  46     0.000958    99.986     0.017221    99.500    99.590    0.9950    0.9949    0.9950
  47     0.000785    99.989     0.020496    99.480    99.590    0.9949    0.9947    0.9948
  48     0.000626    99.997     0.019508    99.500    99.590    0.9950    0.9949    0.9950
  49     0.001470    99.972     0.019460    99.490    99.590    0.9949    0.9949    0.9949
  50     0.000669    99.992     0.017787    99.560    99.590    0.9956    0.9955    0.9956
  51     0.000394   100.000     0.018154    99.550    99.590    0.9955    0.9954    0.9955
  52     0.000305   100.000     0.018325    99.540    99.590    0.9954    0.9953    0.9954
  53     0.000304   100.000     0.018001    99.570    99.590    0.9957    0.9956    0.9957
  54     0.000245   100.000     0.018033    99.560    99.590    0.9956    0.9955    0.9956
  55     0.000225   100.000     0.018703    99.590    99.590    0.9959    0.9958    0.9959
  56     0.000240   100.000     0.018580    99.590    99.590    0.9959    0.9958    0.9959
  57     0.000194   100.000     0.018272    99.590    99.590    0.9959    0.9958    0.9959
  58     0.000182   100.000     0.018593    99.570    99.590    0.9957    0.9956    0.9957
  59     0.000169   100.000     0.017916    99.570    99.590    0.9957    0.9956    0.9957
  60     0.000267    99.997     0.019953    99.570    99.590    0.9957    0.9956    0.9957
  61     0.005504    99.858     0.020760    99.500    99.590    0.9950    0.9949    0.9950
  62     0.000908    99.983     0.018346    99.540    99.590    0.9954    0.9953    0.9954
  63     0.000367   100.000     0.018049    99.600    99.600    0.9960    0.9959    0.9960
  64     0.000272   100.000     0.017908    99.610    99.610    0.9961    0.9960    0.9961
  65     0.000203   100.000     0.018336    99.570    99.610    0.9957    0.9956    0.9957
  66     0.000177   100.000     0.017893    99.630    99.630    0.9963    0.9962    0.9963
  67     0.000168   100.000     0.018383    99.600    99.630    0.9960    0.9959    0.9960
  68     0.000155   100.000     0.018660    99.580    99.630    0.9958    0.9957    0.9958
  69     0.000143   100.000     0.018643    99.630    99.630    0.9963    0.9962    0.9963
  70     0.000137   100.000     0.018602    99.600    99.630    0.9960    0.9959    0.9960
  71     0.000130   100.000     0.018969    99.570    99.630    0.9957    0.9956    0.9957
  72     0.000120   100.000     0.018660    99.560    99.630    0.9956    0.9955    0.9956
  73     0.000113   100.000     0.018562    99.570    99.630    0.9957    0.9956    0.9957
  74     0.000108   100.000     0.018560    99.610    99.630    0.9961    0.9960    0.9961
  75     0.000102   100.000     0.018686    99.580    99.630    0.9958    0.9958    0.9958
  76     0.000142    99.997     0.019242    99.510    99.630    0.9951    0.9950    0.9951
  77     0.001461    99.964     0.022255    99.520    99.630    0.9952    0.9951    0.9952
  78     0.000594    99.981     0.020785    99.480    99.630    0.9948    0.9948    0.9948
  79     0.000163   100.000     0.019983    99.540    99.630    0.9954    0.9953    0.9954
  80     0.000118   100.000     0.019223    99.570    99.630    0.9957    0.9957    0.9957
  81     0.000104   100.000     0.019734    99.580    99.630    0.9958    0.9958    0.9958
  82     0.000098   100.000     0.019700    99.550    99.630    0.9955    0.9954    0.9955
  83     0.000092   100.000     0.020431    99.560    99.630    0.9956    0.9955    0.9956
  84     0.000085   100.000     0.019918    99.570    99.630    0.9957    0.9956    0.9957
  85     0.000082   100.000     0.019646    99.540    99.630    0.9954    0.9954    0.9954
  86     0.000076   100.000     0.019896    99.600    99.630    0.9960    0.9959    0.9960
  87     0.000067   100.000     0.019544    99.570    99.630    0.9957    0.9956    0.9957
  88     0.000069   100.000     0.019843    99.590    99.630    0.9959    0.9958    0.9959
