# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 90% (54000 samples)
# Seed: 59
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.309705    97.406     0.146001    99.160    99.160    0.9916    0.9915    0.9915
   1     0.133095    99.009     0.082813    99.380    99.380    0.9937    0.9938    0.9937
   2     0.083520    99.198     0.092427    99.270    99.380    0.9927    0.9927    0.9926
   3     0.056219    99.411     0.112796    98.350    99.380    0.9843    0.9834    0.9835
   4     0.043811    99.454     0.059764    99.400    99.400    0.9940    0.9939    0.9939
   5     0.034694    99.537     0.033623    99.480    99.480    0.9948    0.9947    0.9947
   6     0.028799    99.570     0.044794    99.510    99.510    0.9950    0.9951    0.9950
   7     0.024440    99.596     0.039365    99.480    99.510    0.9948    0.9947    0.9948
   8     0.020119    99.665     0.033380    99.500    99.510    0.9951    0.9949    0.9950
   9     0.015410    99.780     0.026098    99.520    99.520    0.9951    0.9951    0.9951
  10     0.015442    99.717     0.048436    99.180    99.520    0.9918    0.9917    0.9917
  11     0.014822    99.693     0.022205    99.520    99.520    0.9952    0.9951    0.9952
  12     0.010289    99.854     0.030708    99.310    99.520    0.9932    0.9928    0.9930
  13     0.009865    99.824     0.021831    99.500    99.520    0.9950    0.9949    0.9949
  14     0.009256    99.828     0.021059    99.550    99.550    0.9955    0.9954    0.9954
  15     0.010489    99.752     0.031836    99.290    99.550    0.9930    0.9928    0.9929
  16     0.007710    99.822     0.028068    99.220    99.550    0.9922    0.9922    0.9921
  17     0.005666    99.883     0.019697    99.460    99.550    0.9945    0.9946    0.9946
  18     0.005707    99.869     0.019318    99.480    99.550    0.9948    0.9947    0.9947
  19     0.005826    99.874     0.019694    99.460    99.550    0.9945    0.9946    0.9945
  20     0.006307    99.863     0.020802    99.460    99.550    0.9945    0.9945    0.9945
  21     0.005692    99.854     0.017693    99.480    99.550    0.9947    0.9948    0.9948
