# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 65% (39000 samples)
# Seed: 54
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.349951    96.900     0.192883    99.220    99.220    0.9921    0.9922    0.9922
   1     0.168259    98.954     0.123017    99.410    99.410    0.9940    0.9941    0.9941
   2     0.110134    99.162     0.105519    99.390    99.410    0.9939    0.9939    0.9939
   3     0.078795    99.305     0.065580    99.380    99.410    0.9938    0.9938    0.9938
   4     0.058545    99.474     0.064491    99.500    99.500    0.9950    0.9949    0.9950
   5     0.045688    99.595     0.047558    99.420    99.500    0.9942    0.9941    0.9942
   6     0.037237    99.610     0.052409    99.320    99.500    0.9933    0.9930    0.9932
   7     0.028600    99.759     0.039759    99.400    99.500    0.9940    0.9940    0.9940
   8     0.027344    99.667     0.066498    98.890    99.500    0.9892    0.9889    0.9889
   9     0.021653    99.726     0.029868    99.420    99.500    0.9943    0.9941    0.9942
  10     0.019046    99.779     0.036273    99.450    99.500    0.9945    0.9944    0.9945
  11     0.017270    99.749     0.029921    99.420    99.500    0.9942    0.9942    0.9942
  12     0.014996    99.823     0.029174    99.460    99.500    0.9946    0.9946    0.9946
  13     0.013413    99.815     0.032317    99.360    99.500    0.9936    0.9935    0.9935
  14     0.011013    99.885     0.033385    99.150    99.500    0.9916    0.9915    0.9915
  15     0.010563    99.856     0.028661    99.350    99.500    0.9936    0.9934    0.9935
  16     0.007931    99.895     0.022875    99.450    99.500    0.9945    0.9944    0.9945
  17     0.006029    99.933     0.019016    99.550    99.550    0.9955    0.9954    0.9955
  18     0.009334    99.838     0.030063    99.400    99.550    0.9940    0.9940    0.9940
  19     0.008883    99.831     0.025736    99.480    99.550    0.9949    0.9947    0.9948
  20     0.007312    99.864     0.030730    99.240    99.550    0.9924    0.9923    0.9923
  21     0.005827    99.895     0.022823    99.460    99.550    0.9945    0.9946    0.9946
  22     0.006294    99.867     0.022940    99.430    99.550    0.9944    0.9942    0.9943
  23     0.002769    99.979     0.017708    99.580    99.580    0.9958    0.9958    0.9958
  24     0.002556    99.972     0.020038    99.480    99.580    0.9947    0.9948    0.9947
  25     0.004591    99.918     0.027713    99.400    99.580    0.9940    0.9939    0.9940
  26     0.007414    99.841     0.038233    99.160    99.580    0.9917    0.9914    0.9915
  27     0.002684    99.969     0.021392    99.430    99.580    0.9943    0.9942    0.9942
  28     0.003447    99.933     0.020054    99.480    99.580    0.9948    0.9947    0.9948
  29     0.003976    99.915     0.024049    99.390    99.580    0.9939    0.9938    0.9938
  30     0.002027    99.979     0.019600    99.470    99.580    0.9947    0.9946    0.9946
  31     0.002335    99.964     0.024078    99.330    99.580    0.9934    0.9932    0.9933
  32     0.006005    99.869     0.029624    99.320    99.580    0.9931    0.9931    0.9931
  33     0.002495    99.956     0.018848    99.490    99.580    0.9949    0.9949    0.9949
  34     0.000988    99.995     0.017298    99.500    99.580    0.9950    0.9949    0.9950
  35     0.000911    99.995     0.016342    99.530    99.580    0.9953    0.9953    0.9953
  36     0.001326    99.985     0.017558    99.590    99.590    0.9959    0.9958    0.9959
  37     0.002478    99.944     0.023320    99.470    99.590    0.9947    0.9947    0.9947
  38     0.003257    99.918     0.020352    99.470    99.590    0.9947    0.9947    0.9947
