# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 50% (30000 samples)
# Seed: 51
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.381102    96.593     0.217866    99.070    99.070    0.9906    0.9907    0.9907
   1     0.198270    98.877     0.149361    99.310    99.310    0.9932    0.9930    0.9931
   2     0.134523    99.203     0.114277    99.330    99.330    0.9934    0.9932    0.9933
   3     0.099546    99.383     0.076669    99.410    99.410    0.9941    0.9940    0.9940
   4     0.075288    99.493     0.111081    99.190    99.410    0.9920    0.9918    0.9918
   5     0.059883    99.563     0.078500    99.350    99.410    0.9935    0.9935    0.9935
   6     0.047113    99.667     0.057108    99.450    99.450    0.9945    0.9945    0.9945
   7     0.039739    99.697     0.056104    99.380    99.450    0.9939    0.9937    0.9938
   8     0.033123    99.797     0.037654    99.530    99.530    0.9953    0.9952    0.9953
   9     0.026125    99.820     0.034837    99.440    99.530    0.9945    0.9943    0.9944
  10     0.021051    99.897     0.028834    99.540    99.540    0.9955    0.9953    0.9954
  11     0.019857    99.867     0.037862    99.480    99.540    0.9948    0.9948    0.9948
  12     0.017620    99.893     0.026568    99.510    99.540    0.9951    0.9950    0.9951
  13     0.018861    99.800     0.029385    99.520    99.540    0.9952    0.9951    0.9952
  14     0.014020    99.893     0.026283    99.540    99.540    0.9954    0.9953    0.9954
  15     0.015201    99.827     0.047717    99.220    99.540    0.9922    0.9920    0.9921
  16     0.012747    99.873     0.036180    99.430    99.540    0.9943    0.9942    0.9943
  17     0.011312    99.880     0.034487    99.380    99.540    0.9938    0.9937    0.9938
  18     0.009965    99.880     0.023385    99.410    99.540    0.9942    0.9940    0.9941
  19     0.011968    99.837     0.034667    99.310    99.540    0.9933    0.9930    0.9931
  20     0.007903    99.937     0.046732    99.010    99.540    0.9902    0.9897    0.9899
  21     0.005111    99.987     0.021367    99.470    99.540    0.9947    0.9946    0.9947
  22     0.004246    99.987     0.018240    99.470    99.540    0.9947    0.9946    0.9947
  23     0.004118    99.983     0.018758    99.550    99.550    0.9955    0.9954    0.9955
  24     0.004236    99.957     0.026832    99.360    99.550    0.9936    0.9935    0.9936
  25     0.009778    99.837     0.072782    99.260    99.550    0.9928    0.9924    0.9926
  26     0.012150    99.763     0.064601    98.860    99.550    0.9886    0.9888    0.9886
  27     0.005252    99.927     0.022772    99.500    99.550    0.9950    0.9949    0.9950
  28     0.002840    99.983     0.018835    99.510    99.550    0.9951    0.9950    0.9951
