# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 5% (3000 samples)
# Seed: 42
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.791378    84.600     0.455299    92.200    92.200    0.9261    0.9204    0.9208
   1     0.462340    96.133     0.395359    97.060    97.060    0.9705    0.9704    0.9704
   2     0.382629    98.333     0.362606    97.740    97.740    0.9772    0.9773    0.9773
   3     0.339351    98.933     0.332015    98.020    98.020    0.9802    0.9801    0.9801
   4     0.305928    99.467     0.300461    98.220    98.220    0.9822    0.9821    0.9821
   5     0.275510    99.733     0.282908    98.190    98.220    0.9819    0.9818    0.9819
   6     0.254325    99.900     0.262976    98.360    98.360    0.9837    0.9835    0.9836
   7     0.234219    99.933     0.250633    98.320    98.360    0.9832    0.9831    0.9832
   8     0.223237    99.967     0.234532    98.420    98.420    0.9842    0.9841    0.9841
   9     0.212442    99.967     0.233047    98.460    98.460    0.9846    0.9845    0.9846
  10     0.194534    99.967     0.235325    98.440    98.460    0.9844    0.9844    0.9844
  11     0.188459   100.000     0.225759    98.360    98.460    0.9836    0.9835    0.9835
  12     0.175821   100.000     0.221671    98.480    98.480    0.9848    0.9847    0.9847
  13     0.170015   100.000     0.207369    98.520    98.520    0.9852    0.9851    0.9852
  14     0.162391   100.000     0.208715    98.540    98.540    0.9854    0.9854    0.9853
  15     0.158473   100.000     0.199997    98.520    98.540    0.9852    0.9852    0.9852
  16     0.150431   100.000     0.201885    98.640    98.640    0.9864    0.9864    0.9864
  17     0.141749   100.000     0.196662    98.480    98.640    0.9847    0.9848    0.9848
  18     0.139192   100.000     0.194181    98.450    98.640    0.9845    0.9845    0.9845
  19     0.132701   100.000     0.194839    98.510    98.640    0.9851    0.9851    0.9851
  20     0.127711   100.000     0.186909    98.550    98.640    0.9855    0.9855    0.9855
  21     0.125275   100.000     0.184732    98.470    98.640    0.9847    0.9847    0.9847
  22     0.117922   100.000     0.183835    98.420    98.640    0.9842    0.9842    0.9842
  23     0.119570   100.000     0.182361    98.490    98.640    0.9850    0.9848    0.9849
  24     0.116531   100.000     0.176872    98.550    98.640    0.9855    0.9855    0.9855
  25     0.111162   100.000     0.182165    98.550    98.640    0.9855    0.9855    0.9855
  26     0.110130   100.000     0.171654    98.590    98.640    0.9858    0.9859    0.9858
  27     0.105675   100.000     0.168531    98.570    98.640    0.9857    0.9857    0.9857
  28     0.105314   100.000     0.167980    98.580    98.640    0.9858    0.9858    0.9858
  29     0.099578   100.000     0.168115    98.520    98.640    0.9852    0.9852    0.9852
  30     0.095714   100.000     0.164081    98.530    98.640    0.9853    0.9853    0.9853
  31     0.097100   100.000     0.159867    98.520    98.640    0.9852    0.9852    0.9852
  32     0.093158   100.000     0.160684    98.530    98.640    0.9853    0.9853    0.9853
  33     0.091894   100.000     0.157899    98.440    98.640    0.9844    0.9844    0.9844
  34     0.091109   100.000     0.151091    98.470    98.640    0.9847    0.9847    0.9847
  35     0.087446   100.000     0.148110    98.540    98.640    0.9854    0.9854    0.9854
  36     0.083963   100.000     0.145722    98.470    98.640    0.9847    0.9847    0.9847
  37     0.085701   100.000     0.145699    98.550    98.640    0.9855    0.9855    0.9855
  38     0.083416   100.000     0.142250    98.530    98.640    0.9853    0.9853    0.9853
  39     0.079629   100.000     0.139748    98.570    98.640    0.9857    0.9857    0.9857
  40     0.076756   100.000     0.139318    98.640    98.640    0.9864    0.9864    0.9864
  41     0.079122   100.000     0.134935    98.610    98.640    0.9861    0.9861    0.9861
  42     0.079483   100.000     0.135526    98.550    98.640    0.9855    0.9855    0.9855
  43     0.077076   100.000     0.135588    98.580    98.640    0.9858    0.9858    0.9858
  44     0.073715   100.000     0.134173    98.590    98.640    0.9859    0.9859    0.9859
  45     0.071943   100.000     0.133052    98.570    98.640    0.9857    0.9857    0.9857
