# ModelM7 Training Log - NO DATA AUGMENTATION
# Data Percentage: 35% (21000 samples)
# Seed: 48
# Epochs: 150
# NO TRANSFORMATIONS APPLIED TO DATA
# Epoch   Train_Loss   Train_Acc   Test_Loss   Test_Acc   Best_Test_Acc   Precision   Recall   F1_Score
   0     0.436136    95.267     0.259479    98.750    98.750    0.9875    0.9875    0.9875
   1     0.246777    98.633     0.178409    99.130    99.130    0.9913    0.9913    0.9913
   2     0.175273    99.048     0.149206    99.320    99.320    0.9932    0.9932    0.9932
   3     0.132608    99.333     0.126649    99.310    99.320    0.9931    0.9931    0.9931
   4     0.104975    99.467     0.083634    99.390    99.390    0.9940    0.9938    0.9939
   5     0.084027    99.605     0.078390    99.380    99.390    0.9938    0.9938    0.9938
   6     0.068897    99.667     0.082889    99.370    99.390    0.9938    0.9937    0.9937
   7     0.055353    99.762     0.057898    99.420    99.420    0.9942    0.9942    0.9942
   8     0.048348    99.776     0.064748    99.360    99.420    0.9936    0.9936    0.9936
   9     0.041223    99.814     0.053497    99.290    99.420    0.9930    0.9929    0.9929
  10     0.034520    99.871     0.044114    99.470    99.470    0.9947    0.9947    0.9947
  11     0.032260    99.881     0.054303    99.460    99.470    0.9946    0.9945    0.9946
  12     0.026560    99.924     0.037776    99.530    99.530    0.9953    0.9953    0.9953
  13     0.023653    99.910     0.037456    99.390    99.530    0.9940    0.9938    0.9939
  14     0.019246    99.967     0.030469    99.510    99.530    0.9951    0.9950    0.9951
  15     0.017784    99.952     0.031465    99.510    99.530    0.9951    0.9951    0.9951
  16     0.019757    99.881     0.045441    99.410    99.530    0.9941    0.9941    0.9941
  17     0.018494    99.900     0.039882    99.500    99.530    0.9950    0.9950    0.9950
  18     0.019336    99.857     0.048922    99.370    99.530    0.9938    0.9936    0.9937
  19     0.012940    99.957     0.025848    99.520    99.530    0.9952    0.9952    0.9952
  20     0.014002    99.910     0.035781    99.350    99.530    0.9936    0.9933    0.9934
  21     0.010840    99.976     0.024602    99.420    99.530    0.9942    0.9941    0.9942
  22     0.012685    99.929     0.024873    99.480    99.530    0.9948    0.9948    0.9948
  23     0.011216    99.924     0.056007    98.850    99.530    0.9887    0.9878    0.9881
  24     0.008918    99.976     0.023353    99.370    99.530    0.9938    0.9936    0.9937
  25     0.009009    99.924     0.031899    99.300    99.530    0.9931    0.9930    0.9930
